일          본,,,월계," 10,075 "," 5,659 ",78.0 ,
,,,누계," 71,773 "," 46,172 ",55.4 ,
중          국,,,월계," 72,022 "," 32,175 ",123.8 ,
,,,누계," 543,531 "," 687,936 ",-21.0 ,
홍          콩,,,월계," 4,916 "," 3,919 ",25.4 ,
,,,누계," 41,559 "," 45,362 ",-8.4 ,
대          만,,,월계," 5,589 "," 3,115 ",79.4 ,
,,,누계," 40,107 "," 24,909 ",61.0 ,
싱    가    폴,,,월계," 3,094 "," 1,270 ",143.6 ,
,,,누계," 23,561 "," 29,511 ",-20.2 ,
말 레 이 시 아,,,월계," 6,413 "," 1,615 ",297.1 ,
,,,누계," 55,371 "," 42,582 ",30.0 ,
인 도 네 시 아,,,월계," 2,081 "," 1,427 ",45.8 ,
,,,누계," 18,544 "," 19,696 ",-5.8 ,
베    트    남,,,월계," 2,952 "," 3,171 ",-6.9 ,
,,,누계," 24,790 "," 22,036 ",12.5 ,
태          국,,,월계," 5,840 ", 819 ,613.1 ,
,,,누계," 42,585 "," 18,675 ",128.0 ,
기          타,,,월계," 4,810 "," 5,061 ",-5.0 ,
,,,누계," 34,470 "," 41,735 ",-17.4 ,
미          국,,,월계," 4,624 "," 2,437 ",89.7 ,
,,,누계," 24,913 "," 29,998 ",-17.0 ,
기          타,,,월계," 13,059 "," 9,235 ",41.4 ,
,,,누계," 71,752 "," 102,125 ",-29.7 ,
